[0, -51.56] AVG: -435.41
[1, -27.72] AVG: -246.79
[2, -11.39] AVG: -162.67
[3, -3.02] AVG: -91.04
[4, -0.44] AVG: -42.15
[5, 2.10] AVG: -27.30
[6, 2.15] AVG: -16.64
[7, 3.00] AVG: -7.57
[8, 3.30] AVG: -5.08
[9, 3.30] AVG: -2.84
[10, 4.10] AVG: -1.52
[11, 3.30] AVG: -0.15
[12, 3.40] AVG: 1.23
[13, 3.70] AVG: 2.24
[14, 4.60] AVG: 2.28
[15, 4.60] AVG: 2.44
[16, 5.00] AVG: 1.70
[17, 5.25] AVG: 2.51
[18, 5.70] AVG: 2.96
[19, 5.50] AVG: 3.27
[20, 6.10] AVG: 2.80
[21, 6.40] AVG: 4.08
[22, 6.30] AVG: 3.14
[23, 5.90] AVG: 4.16
[24, 6.20] AVG: 4.26
[25, 6.20] AVG: 4.30
[26, 6.50] AVG: 4.20
[27, 6.70] AVG: 4.35
[28, 6.60] AVG: 4.22
[29, 7.20] AVG: 4.67
[30, 7.20] AVG: 4.74
[31, 7.30] AVG: 4.74
[32, 7.10] AVG: 4.98
[33, 7.30] AVG: 5.55
[34, 7.50] AVG: 5.50
[35, 7.60] AVG: 4.63
[36, 7.90] AVG: 5.60
[37, 8.00] AVG: 5.39
[38, 8.80] AVG: 5.69
[39, 8.60] AVG: 4.86
[40, 8.90] AVG: 5.76
[41, 9.50] AVG: 5.95
[42, 8.60] AVG: 6.18
[43, 8.20] AVG: 6.21
[44, 8.50] AVG: 6.21
[45, 8.75] AVG: 6.24
[46, 8.60] AVG: 4.99
[47, 9.40] AVG: 5.90
[48, 9.60] AVG: 3.24
[49, 9.30] AVG: 6.36
[50, 9.40] AVG: 4.26
[51, 10.90] AVG: 5.33
[52, 8.85] AVG: 6.13
[53, 9.90] AVG: 5.08
[54, 9.10] AVG: 5.76
[55, 9.85] AVG: 5.84
[56, 9.95] AVG: 6.16
[57, 9.70] AVG: 5.44
[58, 9.80] AVG: 6.41
[59, 10.00] AVG: 6.00
[60, 10.40] AVG: 6.26
[61, 10.10] AVG: 5.10
[62, 10.50] AVG: 6.43
[63, 11.60] AVG: 6.18
[64, 11.65] AVG: 4.04
[65, 11.00] AVG: 4.72
[66, 11.65] AVG: 4.28
[67, 11.50] AVG: 6.05
[68, 13.50] AVG: 5.57
[69, 11.55] AVG: 6.31
[70, 12.35] AVG: 6.00
[71, 13.40] AVG: 4.52
[72, 13.20] AVG: 6.18
[73, 13.30] AVG: 4.91
[74, 13.30] AVG: 5.69
[75, 13.00] AVG: 6.48
[76, 14.35] AVG: 7.49
[77, 12.90] AVG: 7.30
